Credit Starting Balance,Credit Max,Credit Account Number,Savings Starting Balance,Savings Account Number,Checking Starting Balance,Checking Account Number,Phone Number,Address,Date of Birth,Last Name,First Name,Identification Number
-786.93,7985,3078,3364.79,2078,857.56,1078,(915) 747-5042,"500 W. University Ave, El Paso, TX 79968",5-Mar-39,A,Daniel,79
-58.57,8899,3048,3352.49,2048,1845.56,1048,(915) 747-5012,"500 W. University Ave, El Paso, TX 79968",5-May-41,Aguirre,Derek,49
-406.48,3029,3017,2220.54,2017,518.07,1017,(714) 781-4636,"1313 Disneyland Dr, Anaheim, CA 92802",20-Jan-83,Aladdin,Jafar,18
-1240.71,8789,3075,132.29,2075,1352.3,1075,(915) 747-5039,"500 W. University Ave, El Paso, TX 79968",6-Aug-94,Aun,Nathan,76
-1827.58,3484,3037,516.33,2037,85.09,1037,(915) 747-5001,"500 W. University Ave, El Paso, TX 79968",19-Oct-65,Avila,Alex,38
-1911.51,8357,3079,2413.6,2079,362.4,1079,(915) 747-5043,"500 W. University Ave, El Paso, TX 79968",25-Dec-18,B,Daniel,80
-886.85,5352,3053,4768.87,2053,1734.37,1053,(915) 747-5017,"500 W. University Ave, El Paso, TX 79968",16-Sep-58,Baechle,Gavin,54
-281.86,7772,3047,3271.72,2047,1076.98,1047,(915) 747-5011,"500 W. University Ave, El Paso, TX 79968",5-May-98,Baptiste,David,48
-866.29,3177,3038,3447.36,2038,474.39,1038,(915) 747-5002,"500 W. University Ave, El Paso, TX 79968",13-Mar-01,Beltran,Alfonso,39
-1863.49,8798,3046,1812.87,2046,519.88,1046,(915) 747-5010,"500 W. University Ave, El Paso, TX 79968",12-Jul-72,Bencomo,Dafne,47
-1050.73,6487,3063,4347.22,2063,1506.74,1063,(915) 747-5027,"500 W. University Ave, El Paso, TX 79968",7-Aug-04,Blanco,Laura,64
-1452.54,6698,3043,3764.74,2043,355.39,1043,(915) 747-5007,"500 W. University Ave, El Paso, TX 79968",17-Oct-53,Bustamante,Brandon,44
-505.4,9400,3080,342.74,2080,909.74,1080,(915) 747-5044,"500 W. University Ave, El Paso, TX 79968",25-May-47,C,Daniel,81
-1906.17,9182,3044,1685.66,2044,1806.19,1044,(915) 747-5008,"500 W. University Ave, El Paso, TX 79968",22-Jun-89,Cabrera,Cesar,45
-160.0,9319,3072,2408.91,2072,1152.39,1072,(915) 747-5036,"500 W. University Ave, El Paso, TX 79968",21-Oct-02,Carrasco,Roberto,73
-1930.17,4080,3065,655.67,2065,1942.67,1065,(915) 747-5029,"500 W. University Ave, El Paso, TX 79968",27-Jan-84,Castro Jimenez,Lidice,66
-1725.64,5166,3040,1375.06,2040,1169.49,1040,(915) 747-5004,"500 W. University Ave, El Paso, TX 79968",30-Aug-32,Cordero,Alyssandra,41
-883.24,9172,3081,3235.49,2081,731.6,1081,(915) 747-5045,"500 W. University Ave, El Paso, TX 79968",7-Oct-01,D,Daniel,82
-1966.94,5351,3069,1691.78,2069,623.42,1069,(915) 747-5033,"500 W. University Ave, El Paso, TX 79968",21-Dec-09,Dang,Minh,70
-319.71,7949,3021,4261.53,2021,1132.61,1021,(714) 781-4636,"1313 Disneyland Dr, Anaheim, CA 92802",10-Mar-62,De Vil,Cruella,22
-689.71,8674,3070,529.74,2070,1450.22,1070,(915) 747-5034,"500 W. University Ave, El Paso, TX 79968",14-Nov-07,Decena,Oscar,71
-141.39,8647,3003,884.26,2003,1456.69,1003,(714) 781-4636,"1313 Disneyland Dr, Anaheim, CA 92802",5-Mar-51,Disney,Goofy,4
-1289.68,5415,3004,1622.73,2004,1549.67,1004,(714) 781-4636,"1313 Disneyland Dr, Anaheim, CA 92802",20-Mar-37,Disney,Pluto,5
-1451.7,8089,3005,3687.14,2005,32.84,1005,(714) 781-4636,"1313 Disneyland Dr, Anaheim, CA 92802",25-Aug-05,Disney,Chip,6
-53.21,3219,3006,4091.61,2006,894.1,1006,(714) 781-4636,"1313 Disneyland Dr, Anaheim, CA 92802",19-Aug-12,Disney,Dale,7
-4.16,7415,3007,2977.94,2007,915.54,1007,(714) 781-4636,"1313 Disneyland Dr, Anaheim, CA 92802",3-Mar-47,Disney,Cinderella,8
-1810.55,7822,3008,729.5,2008,1581.97,1008,(714) 781-4636,"1313 Disneyland Dr, Anaheim, CA 92802",15-Apr-70,Disney,Ariel,9
-1797.38,9736,3009,1087.1,2009,633.94,1009,(714) 781-4636,"1313 Disneyland Dr, Anaheim, CA 92802",17-Nov-91,Disney,Jasmine,10
-1989.22,7398,3010,3431.15,2010,140.78,1010,(714) 781-4636,"1313 Disneyland Dr, Anaheim, CA 92802",11-Oct-28,Disney,Aladdin,11
-1220.11,4931,3011,373.47,2011,1336.79,1011,(714) 781-4636,"1313 Disneyland Dr, Anaheim, CA 92802",24-Oct-12,Disney,Simba,12
-1112.18,7463,3012,3846.05,2012,148.68,1012,(714) 781-4636,"1313 Disneyland Dr, Anaheim, CA 92802",19-Jan-09,Disney,Mufassa,13
-169.44,8372,3013,4806.74,2013,343.45,1013,(714) 781-4636,"1313 Disneyland Dr, Anaheim, CA 92802",12-Jun-60,Disney,Aurora,14
-1005.79,7932,3015,2429.23,2015,258.06,1015,(714) 781-4636,"1313 Disneyland Dr, Anaheim, CA 92802",2-Apr-95,Disney,Woody,16
-160.2,7687,3019,4398.81,2019,1849.03,1019,(714) 781-4636,"1313 Disneyland Dr, Anaheim, CA 92802",16-Aug-98,Disney,Beast,20
-1024.19,8396,3020,2434.75,2020,517.81,1020,(714) 781-4636,"1313 Disneyland Dr, Anaheim, CA 92802",5-Oct-54,Disney,Belle,21
-1264.11,3397,3024,994.47,2024,168.24,1024,(714) 781-4636,"1313 Disneyland Dr, Anaheim, CA 92802",11-Aug-09,Disney,Gaston,25
-864.26,3237,3027,423.8,2027,928.76,1027,(714) 781-4636,"1313 Disneyland Dr, Anaheim, CA 92802",22-Feb-69,Disney,Kaa,28
