Checking Account Number,Credit Account Number,Credit Max,Last Name,Date of Birth,Savings Starting Balance,Checking Starting Balance,Phone Number,Credit Starting Balance,Identification Number,Address,First Name,Savings Account Number
1078,3078,7985,A,5-Mar-39,3364.79,857.56,(915) 747-5042,-786.93,79,"500 W. University Ave, El Paso, TX 79968",Daniel,2078
1048,3048,8899,Aguirre,5-May-41,3352.49,1845.56,(915) 747-5012,-58.57,49,"500 W. University Ave, El Paso, TX 79968",Derek,2048
1017,3017,3029,Aladdin,20-Jan-83,2220.54,518.07,(714) 781-4636,-406.48,18,"1313 Disneyland Dr, Anaheim, CA 92802",Jafar,2017
1075,3075,8789,Aun,6-Aug-94,132.29,1352.3,(915) 747-5039,-1240.71,76,"500 W. University Ave, El Paso, TX 79968",Nathan,2075
1037,3037,3484,Avila,19-Oct-65,516.33,85.09,(915) 747-5001,-1827.58,38,"500 W. University Ave, El Paso, TX 79968",Alex,2037
1079,3079,8357,B,25-Dec-18,2413.6,362.4,(915) 747-5043,-1911.51,80,"500 W. University Ave, El Paso, TX 79968",Daniel,2079
1053,3053,5352,Baechle,16-Sep-58,4768.87,1734.37,(915) 747-5017,-886.85,54,"500 W. University Ave, El Paso, TX 79968",Gavin,2053
1047,3047,7772,Baptiste,5-May-98,3271.72,1076.98,(915) 747-5011,-281.86,48,"500 W. University Ave, El Paso, TX 79968",David,2047
1038,3038,3177,Beltran,13-Mar-01,3447.36,474.39,(915) 747-5002,-866.29,39,"500 W. University Ave, El Paso, TX 79968",Alfonso,2038
1046,3046,8798,Bencomo,12-Jul-72,1812.87,519.88,(915) 747-5010,-1863.49,47,"500 W. University Ave, El Paso, TX 79968",Dafne,2046
1063,3063,6487,Blanco,7-Aug-04,4347.22,1506.74,(915) 747-5027,-1050.73,64,"500 W. University Ave, El Paso, TX 79968",Laura,2063
1043,3043,6698,Bustamante,17-Oct-53,3764.74,355.39,(915) 747-5007,-1452.54,44,"500 W. University Ave, El Paso, TX 79968",Brandon,2043
1080,3080,9400,C,25-May-47,342.74,909.74,(915) 747-5044,-505.4,81,"500 W. University Ave, El Paso, TX 79968",Daniel,2080
1044,3044,9182,Cabrera,22-Jun-89,1685.66,1806.19,(915) 747-5008,-1906.17,45,"500 W. University Ave, El Paso, TX 79968",Cesar,2044
1072,3072,9319,Carrasco,21-Oct-02,2408.91,1152.39,(915) 747-5036,-160.0,73,"500 W. University Ave, El Paso, TX 79968",Roberto,2072
1065,3065,4080,Castro Jimenez,27-Jan-84,655.67,1942.67,(915) 747-5029,-1930.17,66,"500 W. University Ave, El Paso, TX 79968",Lidice,2065
1040,3040,5166,Cordero,30-Aug-32,1375.06,1169.49,(915) 747-5004,-1725.64,41,"500 W. University Ave, El Paso, TX 79968",Alyssandra,2040
1081,3081,9172,D,7-Oct-01,3235.49,731.6,(915) 747-5045,-883.24,82,"500 W. University Ave, El Paso, TX 79968",Daniel,2081
1069,3069,5351,Dang,21-Dec-09,1691.78,623.42,(915) 747-5033,-1966.94,70,"500 W. University Ave, El Paso, TX 79968",Minh,2069
1021,3021,7949,De Vil,10-Mar-62,4261.53,1132.61,(714) 781-4636,-319.71,22,"1313 Disneyland Dr, Anaheim, CA 92802",Cruella,2021
1070,3070,8674,Decena,14-Nov-07,529.74,1450.22,(915) 747-5034,-689.71,71,"500 W. University Ave, El Paso, TX 79968",Oscar,2070
1003,3003,8647,Disney,5-Mar-51,884.26,1456.69,(714) 781-4636,-141.39,4,"1313 Disneyland Dr, Anaheim, CA 92802",Goofy,2003
1004,3004,5415,Disney,20-Mar-37,1622.73,1549.67,(714) 781-4636,-1289.68,5,"1313 Disneyland Dr, Anaheim, CA 92802",Pluto,2004
1005,3005,8089,Disney,25-Aug-05,3687.14,32.84,(714) 781-4636,-1451.7,6,"1313 Disneyland Dr, Anaheim, CA 92802",Chip,2005
1006,3006,3219,Disney,19-Aug-12,4091.61,894.1,(714) 781-4636,-53.21,7,"1313 Disneyland Dr, Anaheim, CA 92802",Dale,2006
1007,3007,7415,Disney,3-Mar-47,2977.94,915.54,(714) 781-4636,-4.16,8,"1313 Disneyland Dr, Anaheim, CA 92802",Cinderella,2007
